date,n1,n2,n3,n4,n5,n6
2015-11-05,1,11,24,32,33,37
2015-11-09,1,3,23,31,39,42
2015-11-12,1,7,14,17,32,38
2015-11-16,1,7,14,15,23,30
2015-11-19,2,13,15,17,26,27
2015-11-23,7,11,14,25,27,42
2015-11-26,4,5,16,31,35,37
2015-11-30,20,28,34,36,38,43
2015-12-03,8,22,25,29,33,37
2015-12-07,2,18,21,33,38,42
2015-12-10,6,19,21,25,27,40
2015-12-14,12,14,21,22,25,41
2015-12-17,10,18,24,25,34,38
2015-12-21,5,15,17,25,27,37
2015-12-24,7,9,14,19,21,25
2015-12-28,2,4,5,6,15,40
2015-12-31,5,18,26,36,40,42
2016-01-04,9,10,12,19,27,40
2016-01-07,1,3,4,7,11,16
2016-01-11,3,11,17,33,35,43
2016-01-14,16,21,22,24,31,35
2016-01-18,1,5,7,11,14,21
2016-01-21,9,13,20,34,35,42
2016-01-25,6,8,9,11,25,38
2016-01-28,1,10,18,28,31,35
2016-02-01,13,21,26,29,39,42
2016-02-04,2,7,13,16,37,41
2016-02-08,22,27,36,37,39,40
2016-02-11,3,20,24,27,33,34
2016-02-15,15,19,30,33,38,41
2016-02-18,12,13,21,34,38,39
2016-02-22,23,28,29,35,37,38
2016-02-25,22,25,28,32,33,38
2016-02-29,2,13,20,25,38,43
2016-03-03,2,23,27,38,39,41
2016-03-07,1,2,22,26,31,38
2016-03-10,6,10,14,16,18,37
2016-03-14,1,15,20,25,28,38
2016-03-17,7,10,11,19,26,39
2016-03-21,7,13,15,17,21,32
2016-03-24,8,10,21,28,42,43
2016-03-28,13,21,25,30,42,43
2016-03-31,6,15,17,33,41,42
2016-04-04,15,20,29,31,40,43
2016-04-07,5,11,16,19,24,27
2016-04-11,3,11,13,24,34,37
2016-04-14,4,14,18,24,33,37
2016-04-18,3,11,12,19,21,32
2016-04-21,1,3,26,32,35,36
2016-04-25,2,4,12,31,36,43
2016-04-28,2,5,7,19,23,31
2016-05-02,4,6,14,31,34,41
2016-05-05,3,19,20,21,23,33
2016-05-09,3,6,15,20,27,30
2016-05-12,4,30,32,33,37,41
2016-05-16,5,7,12,16,21,33
2016-05-19,22,23,24,28,29,33
2016-05-23,3,23,29,30,39,43
2016-05-26,13,17,20,33,37,40
2016-05-30,4,11,14,29,33,36
2016-06-02,5,14,21,22,28,40
2016-06-06,2,5,11,15,17,42
2016-06-09,3,4,19,24,31,32
2016-06-13,7,12,13,20,28,36
2016-06-16,25,26,29,33,36,42
2016-06-20,7,10,12,27,30,43
2016-06-23,3,18,33,34,38,42
2016-06-27,3,9,33,35,39,40
2016-06-30,11,15,17,21,37,39
2016-07-04,2,4,16,21,27,34
2016-07-07,17,32,33,34,36,42
2016-07-11,2,9,14,16,20,38
2016-07-14,11,13,15,22,35,39
2016-07-18,11,26,34,35,36,40
2016-07-21,3,4,20,23,29,38
2016-07-25,10,14,17,23,28,43
2016-07-28,2,11,16,29,32,41
2016-08-01,1,2,3,9,38,41
2016-08-04,5,6,7,15,30,31
2016-08-08,1,9,13,21,26,39
2016-08-11,7,8,13,19,21,26
2016-08-15,11,18,25,29,37,38
2016-08-18,4,11,23,24,26,41
2016-08-22,2,7,16,19,24,28
2016-08-25,20,25,26,35,40,43
2016-08-29,15,16,18,24,29,35
2016-09-01,7,11,14,17,34,41
2016-09-05,11,22,27,29,33,39
2016-09-08,8,12,14,33,36,41
2016-09-12,8,18,31,33,38,42
2016-09-15,1,7,14,18,26,37
2016-09-19,9,13,18,21,31,39
2016-09-22,2,5,13,23,28,33
2016-09-26,23,26,28,31,38,40
2016-09-29,6,9,14,23,30,32
2016-10-03,10,11,15,17,18,35
2016-10-06,14,19,28,35,39,40
2016-10-10,22,28,36,37,38,40
2016-10-13,8,11,23,33,36,37
2016-10-17,12,16,17,21,35,43
2016-10-20,7,16,26,32,40,41
2016-10-24,4,21,24,30,35,42
2016-10-27,1,16,18,26,41,42
2016-10-31,6,8,17,22,30,32
2016-11-03,14,17,21,22,38,42
2016-11-07,8,16,20,34,39,43
2016-11-10,4,9,13,15,23,30
2016-11-14,9,19,22,26,35,42
2016-11-17,1,3,6,7,30,37
2016-11-21,4,6,11,19,26,33
2016-11-24,13,24,27,28,29,32
2016-11-28,7,10,19,20,24,32
2016-12-01,2,8,16,31,39,40
2016-12-05,15,21,28,31,32,40
2016-12-08,4,9,23,29,37,38
2016-12-12,13,14,23,31,36,37
2016-12-15,8,13,17,24,34,42
2016-12-19,6,17,20,22,35,37
2016-12-22,1,8,13,15,21,30
2016-12-26,1,5,11,13,29,41
2016-12-29,1,4,7,12,14,17
2017-01-02,1,17,20,21,30,38
2017-01-05,15,17,33,35,39,42
2017-01-09,10,23,31,36,40,41
2017-01-12,9,10,17,27,33,34
2017-01-16,19,22,25,27,28,33
2017-01-19,4,20,24,27,34,38
2017-01-23,4,10,15,31,34,43
2017-01-26,10,11,19,20,21,29
2017-01-30,6,26,29,32,39,40
2017-02-02,5,10,15,32,37,39
2017-02-06,8,25,28,30,37,39
2017-02-09,4,6,15,19,20,26
2017-02-13,2,14,15,37,40,42
2017-02-16,7,16,26,28,37,41
2017-02-20,4,5,15,17,23,31
2017-02-23,11,15,20,23,24,42
2017-02-27,3,5,8,23,30,40
2017-03-02,1,4,23,33,37,38
2017-03-06,18,21,24,29,35,39
2017-03-09,1,9,20,27,34,42
2017-03-13,7,16,19,25,33,35
2017-03-16,19,20,25,29,38,41
2017-03-20,12,21,23,30,35,36
2017-03-23,6,14,19,22,23,27
2017-03-27,3,4,11,12,17,41
2017-03-30,11,29,39,40,42,43
2017-04-03,3,7,13,16,21,37
